city,state_name,lat,lng,population,distance.to.coast_km,total_richness,total_lists,Area_km2,Included_in_analysis
Alfred_NY,New York,42.2543,-77.7897,4203,266.0945014789634,82,29,3117.022,No
Lochbuie_CO,Colorado,40.0117,-104.727,4984,1081.4265102578706,36,5,3129.777,No
Milton_DE,Delaware,38.775,-75.3104,2856,12.98525462815626,66,39,3147.615,No
Waverly_NE,Nebraska,40.9109,-96.5341,3620,1164.858157597082,0,0,3153.267,No
Winters_TX,Texas,31.9564,-99.9293,2488,394.47084238019636,22,6,3169.265,No
Wolf Point_MT,Montana,48.0934,-105.6413,3790,1150.3600433654374,36,11,3170.689,No
Vandalia_MO,Missouri,39.308,-91.4892,4007,936.1064376086024,0,0,3171.711,No
Bloomfield_IN,Indiana,39.0262,-86.9373,2434,724.0948516750882,35,21,3171.917,No
Butler_IN,Indiana,41.4274,-84.8721,2670,560.685578321081,0,0,3181.622,No
West Liberty_IA,Iowa,41.5726,-91.262200000000007,3675,1034.5585066705626,3,1,3204.334,No
Covington_OH,Ohio,40.1173,-84.3512,2773,528.6814243748138,0,0,3211.647,No
Osburn_ID,Idaho,47.5054,-116.0002,2443,370.70201924054624,80,38,3219.676,No
Ashland_NE,Nebraska,41.0404,-96.3707,2752,1177.5069642537144,27,6,3232.694,No
Conrad_MT,Montana,48.1732,-111.9477,2557,708.5496788816095,23,3,3242.027,No
Checotah_OK,Oklahoma,35.4821,-95.5224,2487,615.1271629556901,2,1,3259.479,No
West_TX,Texas,31.8032,-97.0942,2852,249.62778249352598,17,3,3267.657,No
Superior_AZ,Arizona,33.2852,-111.1103,3005,403.67068762603094,64,24,3282.802,No
Lake Crystal_MN,Minnesota,44.1054,-94.2185,2506,1199.9848528443556,131,52,3285.385,Yes
New Baden_IL,Illinois,38.5367,-89.7066,3365,808.7151948614562,13,2,3286.616,No
Tipton_MO,Missouri,38.6549,-92.7804,3315,910.2641027768823,30,20,3292.142,No
Mount Angel_OR,Oregon,45.0694,-122.7965,3845,61.52721086803763,55,27,3314.929,No
Walters_OK,Oklahoma,34.3612,-98.3563,2437,528.461245261066,18,4,3327.197,No
Rogersville_MO,Missouri,37.1149,-93.0717,3296,737.9053436609923,52,16,3349.935,No
David City_NE,Nebraska,41.2601,-97.1295,2789,1205.579739503241,33,2,3371.016,No
Lena_IL,Illinois,42.3784,-89.8213,2502,908.1572914460121,23,6,3373.627,No
Colfax_WA,Washington,46.9032,-117.3386,2806,274.58742620256055,29,9,3376.235,No
Poteet_TX,Texas,29.0382,-98.5737,3380,132.28847790997557,69,12,3378.053,No
Chaffee_MO,Missouri,37.1812,-89.6615,2966,740.156664987625,0,0,3380.744,No
Kewaunee_WI,Wisconsin,44.4607,-87.5133,2548,792.7882451435554,240,1932,3386.877,Yes
Windsor_MO,Missouri,38.5319,-93.5227,2474,894.6844811765608,3,1,3388.009,No
Hardin_MT,Montana,45.7423,-107.6082,3947,885.1245142410161,19,7,3390.383,No
Ellsworth_KS,Kansas,38.7327,-98.2285,2912,975.9740044945917,116,50,3393.603,Yes
Hollandale_MS,Mississippi,33.1761,-90.8529,2413,308.25169605310884,0,0,3395.03,No
Pawnee_IL,Illinois,39.5936,-89.5825,2820,875.7468278527165,33,6,3396.957,No
Melrose_MN,Minnesota,45.6758,-94.8132,3132,1233.3386290891929,116,171,3401.808,Yes
Henrietta_TX,Texas,33.8147,-98.1925,2572,473.74609170548996,68,115,3406.368,Yes
Lakeview_OR,Oregon,42.1914,-120.3522,2929,224.92084900727914,151,144,3418.061,Yes
Fairmount_IN,Indiana,40.4172,-85.6477,2793,624.5662107825827,11,2,3421.274,No
Avalon_CA,California,33.3338,-118.3317,3690,1.8022378167223745,105,154,3435.13,Yes
